Site,Observer,Subpoint,VOR,PDB,DBHt,PW,WHt,PE,EHt,PA,AHt,PH,HHt,PL,LHt,PB
BunkerHill24,RA,4,2.5,3,4,0,0,4,2.1,0,0,3,3.1,0,0,0
BunkerHill24,RA,5,2.5,4,2.5,2,3.5,4,1.8,0,0,3,3.4,0,0,0
BunkerHill24,JT,6,2.5,1,2,0,0,3,2.6,0,0,2,4.9,0,0,0
BunkerHill24,JT,7,2.5,2,2.8,2,2.2,3,2.7,0,0,2,5.3,0,0,0
BunkerHill24,JT,8,2,2,2.3,0,0,3,3.4,0,0,2,4.3,0,0,0
BunkerHill24,JT,9,1,0,0,0,0,0,0,0,0,1,3,5,0.3,1
BunkerHill24,JT,10,0.5,2,2.3,0,0,2,1.5,0,0,2,1.9,4,0.4,0
BunkerHill23,RA,1,2.5,2,2.3,0,0,3,3.3,0,0,5,4.2,0,0,0
BunkerHill23,RA,2,1.5,2,2.9,0,0,4,2.1,0,0,4,3.1,0,0,0
BunkerHill23,RA,3,3,1,1.9,1,1.4,3,2,0,0,4,4.2,0,0,0
BunkerHill23,RA,4,2.5,1,1.5,1,2.2,4,3.1,0,0,3,3.1,1,0.2,0
BunkerHill23,RA,5,1.5,3,2.4,0,0,4,0.9,0,0,3,3.8,1,0.2,0
BunkerHill23,JT,6,1.5,1,1.3,0,0,2,1.4,0,0,3,3.3,0,0,0
BunkerHill23,JT,7,3,1,1.8,0,0,3,2.7,0,0,4,5.1,2,0.4,0
BunkerHill23,JT,8,0.5,2,2,0,0,2,1.6,0,0,4,3.6,0,0,1
BunkerHill23,JT,9,1,2,2.3,0,0,3,1.3,0,0,3,4.4,0,0,0
BunkerHill23,JT,10,1.5,2,1.7,0,0,3,1,0,0,4,3.6,0,0,0
BunkerHill22,RA,1,2,1,1.8,0,0,1,1.5,0,0,6,3.5,0,0,0
BunkerHill22,RA,2,2,2,1.9,1,3,2,1.1,0,0,5,4.2,1,0.1,0
BunkerHill22,RA,3,2.5,2,1.8,2,2.8,2,1.4,0,0,4,4,0,0,0
BunkerHill22,RA,4,3.5,2,0.8,3,3,1,1.3,0,0,5,5.5,0,0,0
BunkerHill22,RA,5,3,2,1.6,1,1.5,2,2.9,0,0,5,4.3,0,0,0
BunkerHill22,JT,6,1.5,2,3.2,2,3,3,2.8,0,0,3,4.6,0,0,0
BunkerHill22,JT,7,2,3,4.3,0,0,4,3,0,0,1,4.6,0,0,0
BunkerHill22,JT,8,1.5,2,2.9,2,1.2,3,1.7,0,0,3,4.8,2,0.4,0
BunkerHill22,JT,9,2.5,2,2.8,2,0.8,2,0.8,0,0,2,4.8,0,0,0
BunkerHill22,JT,10,1.5,1,0.9,2,4.1,2,2.8,0,0,4,4.5,0,0,0
BunkerHill21,RA,1,1,2,1.2,0,0,4,0.8,0,0,3,1.9,2,0.5,0
BunkerHill21,RA,2,0.5,0,0,0,0,1,0.9,0,0,6,2.3,0,0,0
BunkerHill21,RA,3,2,1,2.2,0,0,0,0,0,0,5,3.3,0,0,0
BunkerHill21,RA,4,1,1,1.1,1,1.2,1,1.5,0,0,5,2.6,0,0,0
BunkerHill21,RA,5,1,0,0,1,0.8,2,1.1,0,0,5,2.1,1,0.1,0
BunkerHill21,JT,6,0,1,0.9,1,0.8,2,0.4,0,0,2,1.8,1,0.2,0
BunkerHill21,JT,7,0,2,0.6,0,0,3,0.6,0,0,2,1.8,4,0.5,0
BunkerHill21,JT,8,0,0,0,0,0,4,0.5,0,0,1,0.7,4,0.6,0
BunkerHill21,JT,9,0,0,0,0,0,3,0.6,0,0,2,1.4,4,0.5,0
BunkerHill21,JT,10,0,0,0,0,0,3,0.7,0,0,1,2.1,3,0.4,0
BunkerHill11,RA,1,1.5,3,2.5,0,0,3,1.7,0,0,3,3.3,0,0,0
BunkerHill11,RA,2,4.5,2,2.4,0,0,3,2.8,0,0,3,2.5,0,0,0
BunkerHill11,RA,3,1,2,3.5,0,0,2,2.6,0,0,1,2,0,0,4
BunkerHill11,RA,4,3,0,0,2,6.3,4,3.7,1,9.7,3,5.4,0,0,0
BunkerHill11,RA,5,3.5,0,0,2,5.3,3,4,0,0,4,4.6,0,0,2
BunkerHill11,JT,6,5.5,4,7.3,0,0,2,1.7,0,0,1,2.2,0,0,0
BunkerHill11,JT,7,4,4,4.4,2,4.5,4,1.7,0,0,1,2.2,0,0,0
BunkerHill11,JT,8,8,4,9.9,0,0,2,4.2,0,0,1,4.1,0,0,0
BunkerHill11,JT,9,5.5,3,6.2,2,6.5,3,5.3,0,0,1,4.2,0,0,0
BunkerHill11,JT,10,9,3,8.8,0,0,3,3.2,0,0,0,0,0,0,0
BunkerHill12,RA,1,0,0,0,0,0,3,1.9,0,0,2,2.9,1,0.1,4
BunkerHill12,RA,2,3.5,2,2.7,5,4.5,2,2.6,1,7.8,2,3,0,0,0
BunkerHill12,RA,3,16.5,3,4.1,0,0,3,2,0,0,2,3.6,0,0,0
BunkerHill12,RA,4,10.5,2,2.5,0,0,3,3.3,5,19.2,1,2.7,0,0,0
BunkerHill12,RA,5,2,3,3,0,0,4,2.6,0,0,2,4,1,0.1,0
BunkerHill12,JT,6,2,0,0,0,0,0,0,5,27,4,4.3,0,0,0
BunkerHill12,JT,7,2.5,0,0,0,0,0,0,5,28,1,2.1,0,0,1
BunkerHill12,JT,8,4.5,0,0,0,0,0,0,6,19.5,2,3.8,0,0,0
CreteCreek18,RA,3,1,2,0.7,0,0,2,1.5,0,0,4,3,2,0.7,0
CreteCreek18,RA,4,0.5,0,0,0,0,3,1,0,0,3,2,2,0.5,0
CreteCreek18,RA,5,1,0,0,0,0,3,0.7,0,0,3,2.8,2,0.3,0
CreteCreek18,RR,6,1,1,2.5,0,0,2,1.4,0,0,6,3.5,0,0,0
CreteCreek18,RR,7,0.5,2,0.8,0,0,3,0.7,0,0,2,2,4,0.3,0
CreteCreek18,RR,8,1,1,1.6,0,0,2,1.3,0,0,6,4.7,0,0,1
CreteCreek18,RR,9,0.5,1,1.8,0,0,4,2.2,0,0,3,3.1,3,0.7,0
CreteCreek18,RR,10,1,1,1.2,0,0,3,1.4,0,0,5,3.6,0,0,0
CreteCreek16,RA,1,0.5,1,0.6,1,0.8,2,1.9,0,0,5,3.3,1,0.3,0
CreteCreek16,RA,2,1,1,1,0,0,2,1,0,0,4,2,2,0.5,0
CreteCreek16,RA,3,2.5,0,0,1,1.2,2,1.9,0,0,4,2.6,1,0.6,0
CreteCreek16,RA,4,0.5,1,0.9,1,0.5,2,1.4,0,0,5,2.5,2,0.8,0
CreteCreek16,RA,5,1.5,1,1.7,0,0,1,0.7,0,0,5,2.7,0,0,0
CreteCreek16,RR,6,1,0,0,1,0.6,3,1.3,0,0,4,2.9,3,0.6,0
CreteCreek16,RR,7,1,2,1.2,0,0,3,1.1,0,0,4,2.8,3,0.7,0
CreteCreek16,RR,8,0.5,2,1,0,0,3,1.6,0,0,3,3,4,0.4,0
CreteCreek16,RR,9,0,2,0.7,0,0,3,1.2,0,0,3,1.5,4,0.4,0
CreteCreek16,RR,10,0,1,1.1,0,0,3,1.1,0,0,3,2.3,4,0.5,0
CreteCreek14,RA,1,0.5,2,1.8,1,1,2,1.7,0,0,4,2.4,2,0.2,0
CreteCreek14,RA,2,0.5,1,0.6,1,1.3,2,1.1,0,0,6,2.6,1,0.3,0
CreteCreek14,RA,3,1,3,1.4,1,0.7,2,1.3,0,0,4,2,2,0.4,0
CreteCreek14,RA,4,0.5,2,0.9,2,0.3,1,0.5,0,0,4,2.5,1,0.1,0
CreteCreek14,RA,5,1,2,0.9,1,0.4,2,0.7,0,0,4,2.6,2,0.8,0
CreteCreek14,RR,6,0,2,1.1,0,0,3,0.5,0,0,3,2.1,3,0.6,0
CreteCreek14,RR,7,0.5,2,0.7,2,0.6,1,0.6,0,0,3,2.5,4,0.4,0
CreteCreek14,RR,8,1.5,3,0.9,1,1.1,4,1,0,0,4,3,2,0.4,0
CreteCreek14,RR,9,0.5,2,1.1,1,1.3,4,0.8,0,0,3,1.9,3,0.5,0
CreteCreek14,RR,10,0.5,1,1,2,0.8,2,0.7,0,0,3,2.6,3,0.7,0
CreteCreek12,RA,1,1,2,0.9,0,0,1,0.5,0,0,3,2.8,3,0.5,0
CreteCreek12,RA,2,1.5,2,2,2,1.3,1,1.1,0,0,5,2.9,0,0,0
CreteCreek12,RA,3,1,2,1.1,0,0,2,1.1,0,0,3,2.7,2,0.5,0
CreteCreek12,RA,4,1.5,3,2.5,2,1.6,3,1.8,0,0,4,3.3,1,0.8,0
CreteCreek12,RA,5,1,3,1.6,1,1.1,1,1.4,0,0,4,2.3,0,0,0
CreteCreek12,RR,6,1.5,0,0,2,1.7,2,2,0,0,5,3.9,0,0,0
CreteCreek12,RR,7,0.5,3,0.5,1,1.1,1,0.5,0,0,5,2.9,2,0.6,0
CreteCreek12,RR,8,1,3,1.6,0,0,3,1.4,0,0,4,3,2,0.8,0
CreteCreek12,RR,9,0.5,2,1.2,1,1,3,0.9,0,0,5,3.3,0,0,1
CreteCreek12,RR,10,1,3,1.7,2,1.6,2,1.2,0,0,4,4,0,0,0
CreteCreek24,RA,1,0.5,0,0,0,0,0,0,0,0,1,0.4,3,0.4,6
CreteCreek24,RA,2,0.5,0,0,0,0,0,0,0,0,0,0,3,0.1,6
CreteCreek24,RA,3,0.5,0,0,2,0.2,0,0,0,0,1,0.4,3,0.2,6
CreteCreek24,RA,4,1,0,0,0,0,0,0,0,0,0,0,2,0.1,6
CreteCreek24,RA,5,0.5,0,0,2,0.1,0,0,0,0,2,1,2,0.1,5
CreteCreek24,RR,6,1.5,0,0,0,0,0,0,0,0,1,0.8,2,0,6
CreteCreek24,RR,7,1,0,0,0,0,0,0,0,0,0,0,2,0.1,6
CreteCreek24,RR,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,6
CreteCreek24,RR,9,0,0,0,0,0,0,0,0,0,0,0,3,0.5,6
CreteCreek24,RR,10,0.5,0,0,0,0,0,0,0,0,0,0,4,0.1,5
CreteCreek22,RA,1,0.5,0,0,0,0,3,0.6,0,0,3,1.4,1,0.2,3
CreteCreek22,RA,2,0,0,0,1,0.2,4,0.7,0,0,2,2.7,4,0.4,1
CreteCreek120,RA,1,1,1,1.7,1,1.1,2,1.4,0,0,5,3.2,1,0.6,0
CreteCreek120,RA,2,0.5,1,0.5,0,0,2,0.4,0,0,3,2.3,3,0.4,0
CreteCreek120,RA,3,1.5,1,1.4,0,0,1,0.5,0,0,6,4.1,0,0,0
CreteCreek120,RA,4,1,3,1.4,0,0,2,1.1,0,0,4,2.4,1,0.5,0
CreteCreek120,RA,5,1,2,1.5,1,0.5,0,0,0,0,4,2.1,0,0,0
CreteCreek120,RR,6,1.5,1,1.4,0,0,1,1.6,0,0,5,3.2,0,0,0
CreteCreek120,RA,7,1.5,2,1.5,0,0,1,2,0,0,5,3.3,1,0.6,1
CreteCreek120,RA,8,0.5,1,1,0,0,3,1.1,0,0,2,1.9,3,0.5,0
CreteCreek120,RA,9,1,2,0.9,0,0,3,0.9,0,0,3,2.7,2,1,0
CreteCreek120,RA,10,0.5,2,0.8,1,0.5,2,1.7,0,0,4,2.6,2,0.3,0
CreteCreek118,RA,1,0.5,1,1.2,1,1,2,1.1,0,0,5,2.7,1,0.8,0
CreteCreek118,RA,2,1.5,0,0,0,0,2,1.6,0,0,5,3.8,0,0,0
CreteCreek118,RA,3,2.5,1,1,0,0,2,1.3,0,0,5,3,1,0.3,0
CreteCreek118,RA,4,1,2,0.8,1,1.4,1,1.3,0,0,5,2.9,1,0.4,0
CreteCreek118,RA,5,2,1,0.9,0,0,2,1.6,0,0,5,2.3,2,0.8,0
CreteCreek118,RR,6,1,1,1.1,0,0,3,0.9,0,0,3,2.2,3,0.2,0
CreteCreek118,RR,7,1,2,1.6,0,0,3,1.2,0,0,4,3.2,2,0.9,0
CreteCreek118,RR,8,1,1,1.8,0,0,2,1.6,0,0,4,3.4,1,0.6,0
CreteCreek118,RR,9,0.5,1,1,1,0.6,3,1.1,0,0,4,2.9,1,1,0
CreteCreek118,RR,10,1,3,2.2,1,1.7,2,1.4,0,0,5,4.5,0,0,0
CreteCreek116,RA,1,1,3,1,0,0,2,0.9,0,0,3,2.7,2,0.6,0
CreteCreek116,RA,2,1,2,1.2,0,0,3,0.9,0,0,4,2.9,1,0.8,0
CreteCreek116,RA,3,1.5,0,0,1,1.9,0,0,0,0,6,4,0,0,0
CreteCreek116,RA,4,1.5,2,1.2,0,0,2,0.9,0,0,5,2.1,0,0,0
CreteCreek116,RA,5,1.5,1,1.2,1,0.9,0,0,0,0,5,3,0,0,0
CreteCreek116,RR,6,1.5,2,1.1,1,0.9,2,0.7,0,0,4,2.6,2,0.4,0
CreteCreek116,RR,7,1.5,0,0,2,1.9,0,0,0,0,6,3.8,0,0,0
CreteCreek116,RR,8,1,1,2.5,2,1.3,0,0,0,0,6,3.6,0,0,0
CreteCreek116,RR,9,1.5,2,2.4,0,0,3,2,0,0,5,3,4,0.5,0
CreteCreek116,RR,10,0.5,1,1.5,1,0.9,3,1.1,0,0,5,3.1,3,0.9,0
CreteCreek114,RA,1,1,3,1.3,0,0,1,1.5,0,0,5,3.1,0,0,0
CreteCreek114,RA,2,1,2,1,0,0,2,1.1,0,0,3,2.8,2,0.8,0
CreteCreek114,RA,3,1.5,1,0.7,0,0,2,1.1,0,0,4,2.7,0,0,0
CreteCreek114,RA,4,1.5,1,1,0,0,2,1.4,0,0,5,3.2,0,0,0
CreteCreek114,RA,5,2,2,1.4,0,0,2,1.4,0,0,5,3.5,0,0,0
CreteCreek114,RR,6,0.5,1,2,0,0,2,1.3,0,0,5,1.4,2,0.6,0
CreteCreek114,RR,7,0.5,1,1,0,0,2,0.9,0,0,5,1.1,2,0.6,0
CreteCreek114,RR,8,0.5,1,1.5,0,0,3,0.7,0,0,3,2,5,0.9,0
CreteCreek114,RR,9,0.5,1,1.2,0,0,3,1,0,0,3,3.2,3,0.7,0
CreteCreek114,RR,10,0.5,2,0.7,0,0,3,0.8,0,0,2,1.1,4,0.6,0
CreteCreek112,RA,1,1.5,1,1.3,1,0.9,1,1.5,0,0,6,2.3,0,0,0
CreteCreek112,RA,2,2,1,2,0,0,2,2.3,0,0,5,2.5,1,0.7,0
CreteCreek112,RA,3,1,1,1.8,0,0,1,1.5,0,0,5,2.8,0,0,0
CreteCreek112,RA,4,2,2,2,1,1,2,1.4,0,0,5,2.7,1,0.4,0
CreteCreek112,RA,5,1,2,1.3,0,0,2,1.5,0,0,5,2.1,2,0.5,0
CreteCreek112,RR,6,2.5,2,2.2,1,0.9,2,1.3,0,0,5,3.5,1,0.5,0
CreteCreek112,RR,7,1,3,1.6,0,0,3,1.8,0,0,5,2.7,3,0.7,0
CreteCreek112,RR,8,0.5,2,1.4,0,0,3,1.3,0,0,4,2.4,1,0.7,0
CreteCreek112,RR,9,1,1,0.7,0,0,1,1.8,0,0,6,2.8,1,0.5,0
CreteCreek112,RR,10,1,2,1.2,1,1,2,1.2,0,0,6,2.9,0,0,0
CreteCreek110,RA,1,1,2,0.9,0,0,2,1.4,0,0,4,3.6,1,0.3,0
CreteCreek110,RA,2,1,2,1.4,1,1.6,0,0,0,0,5,3.6,0,0,0
CreteCreek110,RA,3,0.5,2,1.1,0,0,3,0.9,0,0,3,2.5,2,0.2,0
CreteCreek110,RA,4,1,1,0.9,0,0,3,1.1,0,0,5,3.5,2,0.5,0
CreteCreek110,RA,5,1,1,1,1,1.1,2,1.4,0,0,5,3,0,0,0
CreteCreek110,RR,6,1.5,1,0.9,0,0,3,2,0,0,5,3.3,2,0.6,0
CreteCreek110,RR,7,1,1,1,0,0,2,1.2,0,0,5,3.9,0,0,0
CreteCreek110,RR,8,2,1,1.7,0,0,3,1.6,0,0,4,4.2,3,0.8,0
CreteCreek110,RR,9,1,1,1.2,1,1.1,3,0.8,0,0,5,3.5,2,1.1,0
CreteCreek110,RR,10,1,1,1.2,1,1.3,3,1.3,0,0,4,3.3,1,0.2,0
CreteCreek18,RA,1,2,1,1.3,0,0,2,1.4,0,0,5,3.5,0,0,0
CreteCreek18,RA,2,1.5,2,1.2,0,0,2,1.6,0,0,3,2.7,2,0.4,0
CreteCreek22,RA,3,0,0,0,1,0.2,4,0.6,0,0,3,0.6,2,0.2,1
CreteCreek22,RA,4,0,0,0,1,0.2,3,0.5,0,0,3,0.7,3,0.2,3
CreteCreek22,RA,5,0,0,0,1,0.1,2,0.7,0,0,2,1.8,2,0.1,4
CreteCreek22,RR,6,6.5,0,0,0,0,0,0,0,0,0,0,1,0.1,6
CreteCreek22,RR,7,6,0,0,0,0,0,0,0,0,0,0,2,0.3,6
CreteCreek22,RR,8,3,0,0,0,0,0,0,0,0,1,0.9,3,0.2,5
CreteCreek22,RR,9,0,0,0,0,0,0,0,0,0,0,0,5,0,6
CreteCreek22,RR,10,0.5,0,0,0,0,3,0.9,0,0,5,1.4,2,0,1
CreteCreek21,RA,1,0,0,0,0,0,0,0,0,0,1,0.9,2,0.1,6
CreteCreek21,RA,2,0,0,0,0,0,0,0,0,0,1,0.1,0,0,6
CreteCreek21,RA,3,1,0,0,0,0,0,0,0,0,1,0.4,2,0.01,6
CreteCreek21,RA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6
CreteCreek21,RA,5,0.5,0,0,0,0,0,0,0,0,0,0,1,0.05,6
CreteCreek21,RR,6,0,0,0,0,0,0,0,0,0,0,0,4,0,6
CreteCreek21,RR,7,0.5,0,0,0,0,0,0,0,0,1,0.5,3,0.1,6
CreteCreek21,RR,8,0,0,0,0,0,0,0,0,0,1,0.6,3,0.2,6
CreteCreek21,RR,9,0,0,0,0,0,0,0,0,0,0,0,2,0,6
CreteCreek21,RR,10,6.5,0,0,0,0,0,0,0,0,0,0,2,0.1,6
CreteCreek23,RA,1,0,0,0,1,0.05,0,0,0,0,1,0.2,2,0.04,6
CreteCreek23,RA,2,0,0,0,2,0.3,2,0.5,0,0,3,1.1,1,0.05,3
CreteCreek23,RA,3,0,0,0,0,0,1,0.3,0,0,2,1.3,2,0.03,5
CreteCreek23,RA,4,0,0,0,1,0.5,0,0,0,0,2,1.1,3,0.2,5
CreteCreek23,RA,5,0,0,0,2,0.2,2,0.8,0,0,1,1,3,0.3,5
CreteCreek23,RR,6,0,0,0,0,0,1,0.7,0,0,1,0.4,3,0.1,5
CreteCreek23,RR,7,0,0,0,1,0.1,0,0,0,0,1,0.4,3,0.2,5
CreteCreek23,RR,8,0,0,0,1,0.1,0,0,0,0,1,0.3,4,0.2,6
CreteCreek23,RR,9,0,0,0,1,0.2,0,0,0,0,2,0.9,3,0.2,5
CreteCreek23,RR,10,0,0,0,2,0.1,0,0,0,0,1,0.4,2,0.2,5
CreteCreek29,RA,1,0,0,0,1,0.4,3,0.7,0,0,4,1.9,1,0.4,0
CreteCreek29,RA,2,0,0,0,3,1.1,1,0.4,0,0,5,1.3,1,0.2,1
CreteCreek29,RA,3,0,0,0,2,0.4,3,0.6,0,0,3,1,2,0.2,1
CreteCreek29,RA,4,0,0,0,2,0.7,3,1.1,0,0,2,1.6,2,0.2,2
CreteCreek29,RA,5,0,0,0,1,0.5,3,0.4,0,0,3,0.9,2,0.3,1
CreteCreek29,RR,6,0,0,0,0,0,3,0.3,0,0,1,0.2,3,0.2,3
CreteCreek29,RR,7,0,0,0,2,0.2,4,0.3,0,0,1,0.6,3,0.2,2
