song,year,artist,genre,lyrics,length,commas,exclamations,colons,hyphens
tiger,1977,abba,Pop,"The city is a jungle, you better take care
Never walk alone after midnight
If you don't believe it you better beware
Of me
I am behind you, I'll always find you, I am the tiger
People who fear me never go near me, I am the tiger
The city is a nightmare, a horrible dream
Some of us will dream it forever
Look around the corner and try not to scream
It's me
I am behind you, I'll always find you, I am the tiger
People who fear me never go near me, I am the tiger
Yellow eyes are glowing like the neon lights
Yellow eyes, the spotlight of the city nights
I am behind you, I'll always find you, I am the tiger
People who fear me never go near me, I am the tiger
The city is a prison, you never escape
You're forever trapped in the alleys
Look into the shadows and you'll see the shape
Of me
I am behind you, I'll always find you, I am the tiger
People who fear me never go near me, I am the tiger
Yellow eyes are glowing like the neon lights
Yellow eyes, the spotlight of the city nights
I am behind you, I'll always find you, I am the tiger
People who fear me never go near me, I am the tiger
And if I meet you, what if I eat you, I am the tiger
I am behind you, I'll always find you, I am the tiger
Tiger
Tiger
Tiger",1216,24,0,0,0
take-it-personal,1992,gangstarr,Hip-Hop,"I never thought that you would crab me
Undermine me, and backstab me
But I can see clearly now the rain is gone
The pain is gone but what you did was still wrong
There was a few times I needed your support
But you tried to play me like an indoor sport
Like racquetball, tennis, fool, whatever
All I know is you attempted to be clever
Nevertheless, cleverness can`t impress
Cause now you`ve been expose like a person undressed
Cause I see through you, I`m the Guru
Now what you gonna do when I step to you
And when I pay you back I`ll be hurting you
This ain`t no threat so take it personal
Rap is an art you can`t own no loops
It`s how you hook em up and the rhyme style troop
So don`t even think you could say someone bit
Off your weak beat come on you need to quit
I flip lines and kick rhymes that never sound like yours
There oughtta be laws against you yapping your jaws
Originality overflows from in me
And the truth is, that you wish you could live the
Life I live and kick the lyrics I kick
But bear in mind that you can`t think as quick
So Premier drops a beat, for me to say verses to
And if I sound doper then take it personal
Don`t be mad cause I don`t come around the way
Like I used to, I don`t have time these days
I`m keeping busy making power moves
Don`t try to say I don`t remember you
You shouldn`t let your jealousy show like that
I stopped coming by, cause of the way you act
Telling my business to kids I don`t even know
You`re like a daytime talk show, and that`s low
So you can tell everyone, that I`m jerking you
And if you don`t like it kid, take it personal",1584,13,0,0,0
2-deep,1992,gangstarr,Hip-Hop,"I'm 2 deep and yes much too complicated
My lines when stated are quite often underrated
So consider it a privilege to hear this
Those weak-minded opinions could never come near this
For my outlook on life is a profound view
Whil the suckers act down thinking that they sound new
Only a few sound true
Me and the crew know who
'Cause you see me and the fellas have been waiting for a while now
Giving you the time to get your wack-ass style down
You punks pop junk as if life is a fantasy
Knowing that hard is something you can`t be
So you front but you could never call my bluff
'Cause you`ll catch hell you`ll get dealt with
[Chorus]
I never sleep
I always peep
Rhymes creep
I`m 2 Deep
I`m 2 Deep....
I forgive you sike I`m takin` your life
'Cause you continue to disrespect so I`ma get trife
But then again I think I`ll spare ya
'Cause I know tht all it takes one rhyme just to scare ya
See I`m the holder of the key
Don`t ask me if I`m Muslim don`t say nothin` to me
I said I was raised like one son I had two cousins
They pushed me to find myself or else they knew I wasn`t
Gonna make it and then end up a statistic
My life was twisted I almost missed it
The chance yes the chance to make you feel good
I used to steal goods and fake my parents out real good
But now I got K-N-O-W-L-E-D-G-E of self 'cause I`m me
And the nation of Islam has my support
'Cause they try to reeducate the ones who are lost
And the 5 percent nation takes other steps
To get through to brothers on the corners with the reps
And in the prison they give the brothers new visions
Of how we can gain wealth gain self esteem and dream
Of a total different scene I dress clean, stand lean
Say what I mean and I`m out
Like a scout on a new route exhibitting clout
[Chorus]
For right now yo my religion is rhyming
Perfect timing test the flow and climb in
Ansaar, Sunnite, Sheite, Jihad
All must regard the times are hard
Unite or perish
Is the message I cherish
That goes for my people of all religions
If we`re all black why have so many divisions
Superficial factors are drawing us apart
Don`t let it happen
Let`s put some respect back in
So before I act I think 'cause it`s the brink of destruction
Word corruption what`s up son your gun is just one
And I just might have one
Or two or maybe even three or four
And plus an army of 100 or more
But violence is never my first choice
I come in peace to release the effect of my voice
[Chorus]",2417,4,0,0,10
age-of-false-innocence,2007,blind-guardian,Metal,"Cut off the light
Take a look
There's nothing beyond but pain
Suffer in the deepest void
The flame of hope isgone
What have I done?
Denied the father and the sun
For a moment it seemed
There's space beyond the spheres
Aflame the night
So clear and bright
Unstable light
You've been sacrificed in fear
Now there's one thing for sure
I'm not afraid anymore
Day after day we've been fixed in the bowl
For so long
For ages we're captured in shells
And crystallized walls
Predestined or punished?
By man or god?
I cannot, I will not
Deny it's false innocence
I cannot, I will not
The age of false innocence
Take it away from me
For a while
Astronomy has moved the earth
And we've turned around the sun
Sanctum officium
Has made me believe
Has made me believe
Has made me believe
""We know for sure you're lying
Would you like to mess with holy science
You know the fear of dying
Would it be worth it to hear you crying""
I've slaughtered truth
And I've shattered my heart
Far too long I have played with hellfire
And science has turned into madness
But I should have taken it higher
So I feel so I feel
Like Judas must have felt before
That Wednesday night near by the tree
Day after day we will gratefully suffer for more
Predestined's our part
So we Bleed in the name of god
Don't believe in their eternity
We're still held in blindness
And I've been turned into a liar
If there is no heaven
There won't be release
I cannot, I will not
Deny it's false innocence
I cannot, I will not
The age of false innocence
I cannot, I will not
Deny it's false innocence
I cannot, I will not
The age of false innocence
Take it away from me",1620,6,0,0,0
follow-the-blind,2006,blind-guardian,Metal,"Follow the Blind
Your journey, your last hope, it can begin
These passing dreams
Were real no fantasy
There are more things than we know
Come take my hand
Searching for the talisman you'll find it
On another plane far from all time
Maybe you wonder while you see
The same faces
Everywhere
You can't find yourself in it
Cause you're a part
I'm another
Strange my feelings
Where am I here
For a short time
I remember I had been here
I'm alone, follow me!
Calling you, follow me!
I'm alone, follow me!
Follow me
Follow me it's my time
Follow me
Follow the Blind
Wandering around in my darkest dreams
Iron shadows are lurking at me
In this desert the tyrant's calling
On the run to save my Love
She's full of pain
The queen is lying far behind
In an endless dream
Before I thought I was dreaming
A strange voice whispers in my ears
You're the rat in the trap
Return, or pain will come to you
I'm alone, follow me !
Calling you, follow me !
I'm alone, follow me !
Follow me
Follow me it's my time
Follow me
Follow the Blind
I'm alone
No!",1032,9,7,0,0
dame-dame-dame-amor-esta-noche,2007,abba,Pop,"El reloj
Ya marco medianoche
Y otra vez encontrÃ©
Que tan solo me acompaÃ±a la TV
El soplar
De ese viento afuera
Vive la desolaciÃ³n
Me oprime con angustia el corazÃ³n
No hay mas que soledad
Nadie, ni por piedad
Dame, dame, dame
Amor esta noche
Alguien que me ayude
A las sombras borrar
Dame, dame, dame
Amor esta noche
Hasta que amanezca
Ver el dÃ­a aclarar
Tantos hay
Con gran suerte y fortuna
Todo pueden conseguir
Tan distinto a lo que tengo que vivir
Aburrida me encuentro esta noche
Y la gran oscuridad
Es mi siempre obligada amistad
No hay mas que soledad
Nadie, ni por piedad
Dame, dame, dame
Amor esta noche
Alguien que me ayude
A las sombras borrar
Dame, dame, dame
Amor esta noche
Hasta que amanezca
Ver el dÃ­a aclarar
Dame, dame, dame
Amor esta noche
Dame, dame, dame
Amor esta noche
No hay mas que soledad
Nadie, ni por piedad
Dame, dame, dame
Amor esta noche
Alguien que me ayude
A las sombras borrar
Dame, dame, dame
Amor esta noche
Hasta que amanezca
Ver el dÃ­a aclarar
Dame, dame, dame
Amor esta noche
Alguien que me ayude
A las sombras borrar
Dame, dame, dame
Amor esta noche
Hasta que amanezca
Ver el dÃ­a aclarar",1134,23,0,0,0
journey-through-the-dark,2006,blind-guardian,Metal,"Many songs I've written
About the things I saw
My inner soul's a wasteland
I can't run away from here
Try to find them
All the lost thoughts in my mind
I woke up on a hill
So many times before
Yesterday seems like a dream no more
Frozen memories laughing
They don't let me find the truth
Am I born to be a king
Or a jester of the fools
[Chorus]
You're the mystical old bard
on your journey through the dark
Mystical old bard
Your journey through the dark
I can't remember my name
I never knew how to find my home
I can't remember my name
come tell me where will it end
I'm the chosen one
To perform all these things
But not for me
In illusions and reality
I'm on my journey through the dark
I'm on my journey through the dark
[Chorus]
I can't remember
Will I ever find myself
The distance is growing
My hope has gone away
A flash of light but nothing changes
When will it end
Which part of me remains
Soon I'll be back
On my ferryboat of tales
Where oblivion reigns
It will take all of me
[Chorus]",997,0,0,0,0
otherland,2006,blind-guardian,Metal,"They rule the land
They're in command
They hold all strings in hand
They are invisible
Out of sight
They've designed a secret place to play their games
A world they're in control
Divine law
Divine law
Be aware
Now mind your steps
We are uninvited guests
They may find and catch us
Don't forget
Do what I say
Now connect
Don't even ask until we're out of it
Everything's at highest stake
Come
Take a look
We are in
Take a breath
But don't forget
It isn't real
It isn't true
An illusion
Nothing more
You're part of the game
You're slave to the grind
Oblivion
Is your key to the Otherland
You're part of the game
You're cursed
You're damned
By now you understand
You're part of the game
You're slave to the grind
Oblivion
You're welcome to the Otherland
You're part of the game
You're cursed
You're damned
By now you understand
We get closer
There's no better way
Lullaby Lane
Fate is on it's way
The inner district is the place you need to know
It's overwhelming
So let's rest here for a while
Someone else appears
Silently
Watch me when I fall down
Everything seems real
Suddenly
A perfect simulation
Come
Take a look
Breathe it in
Artificial wonderlands
We are wandering around
Things shall vanish
They won't last
Now I know you
Understand this world is not true
Nothing is real
Nothing at all
It's bits and pieces
We walk through
You're part of the game
You're slave to the grind
Is your key to the Otherland
You're part of the game
You're cursed
You're damned
By now you understand
You're part of the game
You're slave to the grind
Oblivion
You've reached the promised land
You're part of the game
You're cursed
You're damned,
Welcome to the Otherland
Wait
I can feel things are not right
Do not breathe
Don't look behind
There's someone else
The observer
A trick of light
A fading line
The entrance is gone
We can't get out of it
We are slightly losing ground
Quick
It is time
We shall go
We better leave
And don't come back
No way to run
Nowhere to hide
I fear we are walking aimlessly
You're part of the game
You're slave to the grind
Oblivion
Is your key to the Otherland
You're part of the game
You're cursed
You're damned
By now you understand
You're part of the game
You're slave to the grind
Oblivion
Welcome to the Otherland
You're part of the game
You're cursed
You're damned
You've reached the promised land
You've crossed the line
You've reached the end
You've crossed the line
You've reached the end",2414,1,0,0,0
curse-my-name,2010,blind-guardian,Metal,"The tenure of kings and their magistrates
By good men it must be deposed
The covenant made can be voided at once
Disanoint him, take his crown
They plead for their king
And they pity their lord
Put him to death, that's what I say
Though never so just these dancing divines
Endue him with reason and grace
They're gibberish
Words dissemble the facts
God's will
They falsely will claim
Let him curse my name
On these blood stained pages of misery
Let him call me a tyrant so cruel
Let him curse my name
But remember the truth
So there they come
From everywhere
They witness revenge
Hear them calling
You're laden with blood
It's spilled everywhere
And sorrow's everlasting
Oh you'll be aware now
That trial is near
It's close at hand
The masquerade is over
It ends
Remove his crown
And bring him down
Remove his crown
And bring him down
Now we shall mourn no longer
Our prayers they've been heard
Now we shall mourn no longer
Our prayers they've been heard
(We won't take it anymore)
That will bind us to the tyrant
(We won't take it anymore)
Our voices shall be heard
(We won't take it anymore)
That will bind us to the tyrant
(We won't take it anymore)
Our voices shall be heard
(We won't take it anymore)
And we're the one we are the nation
(We won't take it anymore)
And we're the one we are the law
(We won't take it anymore)
And we're the one we are the nation
(We won't take it anymore)
And we're the one we are the law
Falsely they praise
Deify his majesty
He's blessed annointed's
Fulfilling god's will
Curse them all
No further he's king
Providence brought him straight into our hands
Let him curse my name
On these blood stained pages of misery
Let him call me a tyrant so cruel
Let him curse my name
But remember the truth
Now let him appear
There's joy in the air
Now witness a new age is dawning
In trouble alone
He's facing despair
Awaiting his bitter ending
We all know he's quilty as charged
By punishment due to his crime
We sacrifice the wicked king
Aknowledged by scriptures and law
Let him curse my name
On these blood stained pages of misery
Let him call me a tyrant so cruel
Let him curse my name
But remember the truth
On these blood stained pages of misery
Let him call me a tyrant so cruel
Let him curse my name
But remember the truth
We won't take it anymore
Our voice it shall be heard
But I will remember the truth
We won't take it anymore
Our voice it shall be heard
But I will remember the truth",2424,2,0,0,0
like-an-angel-passing-through-my-room,2012,abba,Pop,"Long awaited darkness falls
Casting shadows on the walls
In the twilight hour I am alone
Sitting near the fireplace, dying embers warm my face
In this peaceful solitude
All the outside world subdued
Everything comes back to me again
In the gloom
Like an angel passing through my room
Half awake and half in dreams
Seeing long forgotten scenes
So the present runs into the past
Now and then become entwined, playing games within my mind
Like the embers as they die
Love was one prolonged goodbye
And it all comes back to me tonight
In the gloom
Like an angel passing through my room",581,2,0,0,0
baby,2006,abba,Pop,"Baby
You can do magic
Baby
Isn't it tragic
Maybe
You can do something I can't
And I can't get enough of it
Baby
You can do wonders
Maybe
You can do something I can't
So don't stop doing it
Don't stop doing it
Baby
You can do wonders",232,0,0,0,0
