Region_ID,Region,Region_eng,Population,Rus_perc,Urban_pop,Urban_pop_perc,Rural_pop,Rural_pop_perc,Area,Density_pop_sqkm,Federal_district,Latitude,Longitude
48,Липецкая область,Lipetsk region,1139492,"0,78",740253,"64,96",409948,"35,98",24047,"47,39",ЦФО,52.693517799999995,39.112266399999996
62,Рязанская область,Ryazan Oblast,1108924,"0,76",805902,"72,67",315572,"28,46",39605,28,ЦФО,54.422673200000006,40.570524600000006
46,Курская область,Kursk region,1103059,"0,75",756880,"68,62",358357,"32,49",29997,"36,77",ЦФО,51.6568453,36.4852695
29,Архангельская область,Arkhangelsk region,1092277,"0,74",868913,"79,55",242118,"20,45",413103,"2,64",СЗФО,63.5589686,43.1221646
70,Томская область,Tomsk region,1079051,"0,74",780804,"72,36",297476,"27,57",314391,"3,43",СФО,58.6124279,82.04753149999999
75,Забайкальский край,Zabaykalsky Krai,1059657,"0,72",731915,"69,07",340891,"32,17",431892,"2,45",ДВФО,52.248521000000004,115.956325
39,Калининградская область,Kaliningrad region,1012253,"0,69",775122,"76,57",219477,"21,68",15125,"66,93",СЗФО,54.7293041,21.1489473
68,Тамбовская область,Tambov Region,1006962,"0,69",629296,"62,49",404256,"40,15",34462,"29,22",ЦФО,52.9019574,41.3578918
30,Астраханская область,Astrakhan region,1005967,"0,69",678071,"67,4",339443,"33,74",49024,"20,52",ЮФО,47.1878186,47.608851
40,Калужская область,Kaluga region,1000070,"0,68",769262,"76,92",242894,"24,29",29777,"33,59",ЦФО,54.438277299999996,35.5272854
37,Ивановская область,Ivanovo region,997196,"0,68",826727,"82,91",187919,"18,84",21437,"46,52",ЦФО,56.9167446,41.435213700000006
3,Республика Бурятия,The Republic of Buryatia,986109,"0,67",581005,"58,92",403506,"40,92",351334,"2,81",ДВФО,53.60950465,111.02710087838608
14,Республика Саха (Якутия),The Republic of Sakha (Yakutia),970105,"0,66",632857,"65,24",331473,"34,17",3083523,"0,31",ДВФО,66.941626,129.642371
67,Смоленская область,Smolensk region,934747,"0,64",682708,"73,04",266640,"28,53",49779,"18,78",ЦФО,55.034349600000006,33.0192065
7,Кабардино-Балкарская Республика,Kabardino-Balkar Republic,868174,"0,59",451338,"51,99",414490,"47,74",12470,"69,62",СКФО,43.442828600000006,43.4204809
45,Курганская область,Kurgan region,826941,"0,56",522828,"63,22",322709,"39,02",71488,"11,57",УФО,55.7655302,64.5632681
11,Республика Коми,Komi Republic,820171,"0,56",656821,"80,08",184052,"22,44",416774,"1,97",СЗФО,63.9881421,54.3326073
13,Республика Мордовия,The Republic of Mordovia,790829,"0,54",507034,"64,11",298022,"37,68",26128,"30,27",ПФО,54.3376037,44.772922799999996
28,Амурская область,Amurskaya Oblast,790676,"0,54",537884,"68,03",260540,"32,95",361908,"2,18",ДВФО,52.8032368,128.437295
51,Мурманская область,Murmansk region,741511,"0,51",695764,"93,83",57793,"7,79",144902,"5,12",СЗФО,68.00004179999999,33.9999151
57,Орловская область,Oryol Region,733682,"0,5",498910,68,248337,"33,85",24652,"29,76",ЦФО,52.839276500000004,36.4251709
15,Республика Северная Осетия - Алания,Republic of North Ossetia - Alania,697064,"0,48",450865,"64,68",250900,"35,99",7987,"87,27",СКФО,42.79371695,43.91586205969284
12,Республика Марий Эл,Mari El Republic,679094,"0,46",451366,"66,47",230967,"34,01",23375,"29,05",ПФО,56.576750399999995,47.881751200000004
44,Костромская область,Kostroma region,633392,"0,43",464477,"73,33",178847,"28,24",60211,"10,52",ЦФО,58.424756,44.253327299999995
60,Псковская область,Pskov region,626046,"0,43",451143,"72,06",185403,"29,61",55399,"11,3",СЗФО,57.535872899999994,28.8586826
10,Республика Карелия,The Republic of Karelia,614628,"0,42",500558,"81,44",121926,"19,84",180520,"3,4",СЗФО,62.61940309999999,33.4920267
53,Новгородская область,Novgorod region,596173,"0,41",430486,"72,21",175990,"29,52",54501,"10,94",СЗФО,58.2843833,32.516975699999996
89,Ямало-Ненецкий АО,Yamalo-Nenets Autonomous Okrug,544008,"0,37",451404,"82,98",87143,"16,02",769250,"0,71",УФО,67.1471631,74.3415488
19,Республика Хакасия,The Republic of Khakassia,534186,"0,36",372892,"69,81",164621,"30,82",61569,"8,68",СФО,53.4399379,90.0664303
6,Республика Ингушетия,The Republic of Ingushetia,506688,"0,35",269949,"53,28",218094,"43,04",3123,"162,24",СКФО,43.1655309,44.979682000000004
65,Сахалинская область,Sakhalin region,488453,"0,33",402043,"82,31",88138,"18,04",87101,"5,61",ДВФО,49.7219665,143.448533
9,Карачаево-Черкесская Республика,Karachay-Cherkess Republic,465669,"0,32",199223,"42,78",267082,"57,35",14277,"32,61",СКФО,43.7368326,41.7267991
1,Республика Адыгея,Republic of Adygea,463453,"0,32",213820,"46,14",239556,"51,69",7792,"59,48",ЮФО,44.6939006,40.1520421
92,Севастополь,Sevastopol,448829,"0,31",405976,"90,45",30694,"6,84",864,"519,48",ЮФО,44.6054434,33.5220842
17,Республика Тыва,Tyva Republic,327388,"0,22",173853,"53,1",147869,"45,17",168604,"1,94",СФО,51.401714899999995,93.8582593
41,Камчатский край,Kamchatka Krai,312438,"0,21",246833,79,68724,22,464275,"0,67",ДВФО,57.191488199999995,160.03838190000002
8,Республика Калмыкия,Republic of Kalmykia,271035,"0,18",125025,"46,13",150388,"55,49",74731,"3,63",ЮФО,46.2313018,45.3275745
4,Республика Алтай,Altai Republic,220140,"0,15",63214,"28,72",154849,"70,34",92903,"2,37",СФО,50.7114101,86.8572186
79,Еврейская автономная область,Jewish Autonomous Region,158381,"0,11",111415,"70,35",50599,"31,95",36271,"4,37",ДВФО,48.5601613,132.2775662
49,Магаданская область,Magadan Region,140199,"0,1",138169,"98,55",5922,"4,22",462464,"0,3",ДВФО,63.551502799999994,154.014726
87,Чукотский автономный округ,Chukotka Autonomous Okrug,50726,"0,03",34795,"68,59",14553,"28,69",721481,"0,07",ДВФО,66.0006475,169.4900869
83,Ненецкий автономный округ,Nenets Autonomous Okrug,44110,"0,03",32049,"72,66",11948,"27,09",176810,"0,25",СЗФО,67.6783253,57.0626853
