number,name,name_object,date,author,address,district,protection_category,base,note,id_object
11,Набережная Адмиралтейская,Спуск Дворцовый со львами и пристанью,"1820-1824, 1832; 1914-1916","инж. Готман А.Д., арх. Шарлемань Л.И.; инж. Пшеницкий А.П.","Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10184
12,Набережная Адмиралтейская,Спуск Петровский с вазами и пристанью,1820-1824; 1873-1874,"инж. Готман А.Д.; инж. Карлович В.М., инж. Селянинов С.С.","Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10185
13,Набережная Адмиралтейская,Набережная,1873-1874,"инж. Карлович В.М., инж. Селянинов С.С.","Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10186
14,,"Дом, где жили: в 1906-1910 гг. физик Голицин Б.Б., в 1890 г., в 1893 г. - композитор Чайковский П.И.",,,"Адмиралтейская наб., 10; Черноморский пер., 7",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,13
15,,Главное Адмиралтейство,1704; 1732-1738; 1806-1823,по чертежу Петра 1; арх. Коробов И.К.; арх. Захаров А.Д.,"Адмиралтейская наб., 2, 16; Адмиралтейский пр., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,8
16,,Дом Т.В. Макаровой,1879-1880,арх. А.Х. Кольб,"Адмиралтейская наб., 6; Азовский пер., 2; Черноморский пер., 3",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,443
17,,Дворец Великого князя Михаила Михайловича,1884-1891; 1911,арх. Месмахер М.Е.; гражд.инж. Бергштрессер П.К.,"Адмиралтейская наб., 8; Черноморский пер., 4, 5; Азовский пер., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10
18,Дворец Великого князя Михаила Михайловича,Дворец,1884-1891; 1911,арх. Месмахер М.Е.; гражд.инж. Бергштрессер П.К.,"Адмиралтейская наб., 8; Черноморский пер., 5; Азовский пер., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,11
19,Дворец Великого князя Михаила Михайловича,Служебный дом,1884-1888,арх. Месмахер М.Е.,"Черноморский пер., 4",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,12
20,,Александровский сад,1872-1874; 1930 (перепланирован),ботаник Регель Э.Л.; арх. Ильин Л.А.,"Адмиралтейская наб., Адмиралтейский пр., Дворцовая пл., Адмиралтейский просп., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,16
21,Александровский сад,Ограда,1872-1874,инж. Жоффрио К.,Адмиралтейская наб.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10400
22,Александровский сад,Ограда,1872-1874,инж. Жоффрио К.,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,22
23,Александровский сад,Сад,1872-1874; 1930,ботаник Регель Э.Л.; арх. Ильин Л.А.,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,23
24,Александровский сад,"Статуя ""Геракл Фарнезский""","18 в. 1-я четв., 18 в.; 1833 (установлена)",Копия  неизвестного скульптора с оригинала итальянского скульптора  Гликона,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,24
25,Александровский сад,"Статуя ""Флора Фарнезская""","18 в. 1-я четв., 18 в.; 1833 (установлена)",Копия неизвестного итальянского скульптора с античного оригинала 3 в. до н.э.,"Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,25
26,Александровский сад,Фонтан,1875-1879,"гражд.инж. Мерц И.А., Гешвенд А.Р.","Адмиралтейский пр., Декабристов пл.",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,26
27,Александровский сад,Бюст географа Пржевальского Н.М.,1892,"ск. Шредер И.Н., ск. Рунеберг Р.И., худ. Бильдерлинг А.А.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,17
28,Александровский сад,Бюст композитора Глинки М.И.,1899,"ск. Пащенко В.П., арх. Лыткин А.С.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,18
29,Александровский сад,Бюст писателя Гоголя Н.В.,1896,"ск. Крейтан В.П., арх. Максимов А.П.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,19
30,Александровский сад,Бюст поэта Жуковского В.А.,1887,"ск. Крейтан В.П., арх. Лыткин А.С.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,20
31,Александровский сад,Бюст поэта Лермонтова М.Ю.,1896,"ск. Крейтан В.П., арх. Максимов А.П.",Адмиралтейский пр.; Адмиралтейская наб.; Дворцовая пл.; Декабристов пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,21
32,,Здания Государственного Дворянского земельного банка,1877-1880; 1880-1881; 1912,"арх. Н.Л. Бенуа, А.И. Кракау; арх. А.В. Иванов; техн. А.В. Друкер, гражд. инж. К.К. Тарасов","Адмиралтейская наб., д. 12-14, лит. А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 6-р от 13.01.2017,,444
33,,"Дом, где в 1866-1870 гг. находилась ""Артель художников"" и жил художник Крамской И.Н.",,,"Адмиралтейский пр., 10; Вознесенский пр., 2",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,14
34,,Дом Лобанова-Ростовского А.Я.,1817-1820,"арх. Монферран О.Р., ск. Трискорни П.","Адмиралтейский пр., 12; Исаакиевская пл., 2; Вознесенский пр., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,15
35,,Дом Л.И. Штиглица (Запасной дворец вел. кн. Павла Александровича),1824; 1894,арх. С.А. Поленов (1894),"Адмиралтейского кан. наб., 29; Галерная ул., 54",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,449
36,,Набережная Английская,1770-1788; 1819-1821,арх. Фельтен Ю.М.; инж. Бетанкур А.А.,"Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10191
37,Набережная Английская,Устой береговой Исаакиевского наплавного моста с лестничными спусками,1770-1788; 1819-1821,арх. Фельтен Ю.М.; инж. Бетанкур А.А.,"Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10597
38,Набережная Английская,Набережная,1770-1788,арх. Фельтен Ю.М.,"Английская наб. - левый берег р. Большой Невы, от Декабристов пл. до Ново-Адмиралтейского канала",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10192
39,,"Памятник-стела в честь революционного крейсера ""Аврора""",1939,арх. Гегело А.И.,"Английская наб.,  42 (б. Набережная Красного Флота)",Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 757 от 24.10.1977,,59
40,,Дом Нарышкина А.Л. (Воронцовых-Дашковых),1736-1738; 1770-е; 19 в.,,"Английская наб., 10; Галерная ул., 9",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,30
41,,Дом М. Маркевича,18 в.; 1845,арх. И. Д. Корсини (1845),"Английская наб., 12; Галерная ул., 11",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,450
42,,Особняк Дурново П.П.,18 в. кон.-19 в. нач.; 1872,арх. Фонтана Л.Ф.,"Английская наб., 16; Галерная ул., 15",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,36
43,,Дом С.П. Горсткина (С.М. Толстого),18 в.; 1869; 1884; 1885,арх. Ц.А. Кавос (1869); арх. И.П. Маас (1884); арх. А.С. Хренов (1885),"Английская наб., 22; Замятин пер., 1",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,452
44,,Дом О.Н. Варгуниной (В.В. Скаржинского),18 в.; 1825; 1866; 1910,арх. А.Ф. Щедрин (1825); арх. А.Ф. Занфтлебен (1866); арх. Г.В. Войневич (1910),"Английская наб., 24; Галерная ул., 23",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,453
45,,Дома купца Челышева,18 в. кон.; 1835 (перестройка),арх. Мельников А.И.,"Английская наб., 26 (б. Красного флота наб.); Галерная ул., 25",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,38
46,,Дом фон Дервиза П.П. (Великого князя Андрея Владимировича) с дворовыми флигелями,18 в. 1-я пол.; 1889-1890-е,арх. Красовский А.Ф.,"Английская наб., 28; Галерная ул., 27",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,39
47,,Дом Майера Э.М.,"19 в. 1-я пол.; 1857-1858, корпус","арх. Бернгард Р.Б.; арх. Бернгард Р.Б., арх. Рахау К.","Английская наб., 30; Галерная ул., 29",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,40
48,,Коллегия Иностранных дел (дом Куракина Б.А.),1750-1760-е; 1782-1783,арх. Башмаков М.А.; арх. Кваренги Д.,"Английская наб., 32, Галерная ул.,31",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,41
49,,Дом фон Дервиза С.П. с дворовыми флигелями,18 в. 1-я пол.; 1868-1871; 1885,арх. Миллер Ф.; арх. Шрейбер П.П.,"Английская наб., 34; Галерная ул., 33",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,42
50,,"Дом А.Ф. Кларка (здание общества ""Мазут"")","18 в.; 1883, 1889-1890; 1912","арх. В.А. Шретер (1883, 1889-1890); арх. Н.Л. Марков (1912)","Английская наб., 38; Галерная ул., 39; Труда пл., 1",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,455
51,,"Дом Румянцева Н.П. (Кочубея Е.Л.), арх. Глинка В.А., ск. Мартос И.П., арх. Цим И.-А., арх. Степанов А.А.",1720-1730-е; 1820-е; 1863-1865; 1882-1886,"арх. Глинка В.А., ск. Мартос И.П.; арх. Цим И.А.; арх. Степанов А.А.","Английская наб., 44; Галерная ул., 45",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,43
52,,Дома П.К.Ферзена (А.Я.Прозорова),18-19 вв.,,"Английская наб., 48; Галерная ул., 49",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,44
53,Дома П.К.Ферзена (А.Я.Прозорова),Дом № 48,"18 в. кон., 1838; 1885",арх. Садовников П.С.; воен.инж. Карлович В.М.,"Английская наб., 48",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,45
54,Дома П.К.Ферзена (А.Я.Прозорова),Дом № 49,"18 в. кон., 1848; 1880-е",арх. Боссе Г.Э.; арх. Кенель В.А.,"Галерная ул., 49",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,46
55,,Дом Лаваль А.Г.,1730-е; 1791-1793; 1806-1809; 1945-1952 (реставрация),арх. Воронихин А.Н.; арх. Тома де Томон Ж.Ф.; арх. Ротач А.Л.,"Английская наб., 4; Галерная ул., 3",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,27
56,,Дом Стенбок-Ферморов (дом Капниста),18 в. нач.; 1830-е,,"Английская наб., 50; Галерная ул., 51",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,47
57,,Дом Потемкина А.Я. (Струкова),1730-е; 19 в. нач.,,"Английская наб., 52; Галерная ул., 53",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,48
58,,Дворец Великого князя Михаила Александровича с дворовыми флигелями,18 в. 1-я треть.; 1870-1874; 1910-1913,арх. Рахау К.К.; арх. Мельцер Р.Ф.,"Английская наб., 54; Галерная ул., 55",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,49
59,,Церковь англиканская Иисуса Христа,1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,50
60,Церковь англиканская Иисуса Христа,Дом жилой,1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,51
61,Церковь англиканская Иисуса Христа,Корпуса служебные (два),1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,52
62,Церковь англиканская Иисуса Христа,Церковь,1730-е; 1814-1815; 1876,арх. Кваренги Д.; гражд.инж. Болтенгаген Ф.К.,"Английская наб., 56; Галерная, 57",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,53
63,,Дома Е.Занадворской,18 в. кон.; 1858,арх. Дютель Ю.А.,"Английская наб., 58 (б. Красного Флота, наб.); Галерная ул., 59",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,54
64,,Дом Теплова,18 в. 1-я пол.; 1870,арх. Мижуев П.П.,"Английская наб., 60 (б. Красного Флота, наб.); Галерная ул., 61",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,55
65,,Дома кн. Л.Д.Вяземского,18 в. кон.; 1875,"арх. Мижуев П.П., арх. Бульери Л.Ф.","Английская наб., 66 (б. Красного Флота, наб.); Галерная ул., 67",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,56
66,,Дом Штиглица А.Л. (дворец Великого князя Павла Александровича),1859-1862; 1887-1889 (переделка),арх. Кракау А.И.; арх. Месмахер М.Е.,"Английская наб., 68; Галерная ул., 69",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,57
67,,Особняк Казалета Э.П. (Тенишевых),18 в.1-я пол.; 1865-1866; 1900,арх. Стуккей В.Е.; гражд.инж. Берзен Р.А.,"Английская наб., 6; Галерная ул., 5",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,28
68,,"Дом Виллие Я.В. (Демидова, Гауша)",1737-1738; 1820-е кон.,,"Английская наб., 74; Ново-Адмиралтейского кан. наб., 2",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,58
69,,Дом Паскевича Ф.И. с дворовыми флигелями,18 в.1-я пол.; 1856-1857,"арх. Пель А.Х., арх. Гедике Р.А.","Английская наб., 8; Галерная ул., 7",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,29
70,,Дом М.Н. Челищева (М.Л. и И.Л. Варшавских),18 в.; 1858; 1908,арх. Н.В. Трусов (1858); гражд. инж. М.Ю. Капелинский (1908),"Английская наб., д. 62, лит. А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 126-р от 22.03.2017,,464
71,,Дом С.В. Линдес (Здание Шведского посольства),"18 в.; 1823; 1860; 1886-1890, 1900; 1913","арх. Шарлемань (1823); арх. И.И. Цим (1860); арх. В. А. Шретер (1886-1890, 1900); арх. Ф. Лилльеквист (1913)","Английская наб., д. 64, лит. А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 125-р от 22.03.2017,,465
72,,Здание кондитерской фабрики “Жорж Борман”,1912,"арх. П.П. Павлов, В.В. Виндельбандт","Английский пр., 16; ул. Писарева, 3",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,862
73,,"Дом, в котором: жила в 1909-1910 гг. актриса Комисаржевская Вера Федоровна (кв. 7); жил с 1908 г. и умер в 1940 г. океанограф академик Шокальский Юлий Михайлович (кв. 19); в помешениях училища Витмер О.К. неоднократно бывал Ленин В.И. (1905-1906 гг.)",,,"Английский пр., 27; Союза Печатников ул., 27",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,74
74,,"Здания, где в 1897-1919 гг. находились Высшие курсы физического образования (курсы Лесгафта). Здесь жили и работали: в 1897-1909 гг. - основатель курсов Лесгафт П.Ф., в 1907-1941гг. - революционер Морозов Н.А., в 1913-1958 гг. - физиолог Орбели Л.А.",,,"Английский пр., 32; Союза Печатников ул., 25-а",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,75
75,,Особняк А.К. Пампеля,1880-1881,арх. В.А. Шретер,"Английский пр., 4-6, лит. А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,469
76,,"Дом, XIX в. Здесь в 1906-1907 гг. Ленин В.И. принимал участие в партийных собраниях",,,"Английский пр., 41; Садовая ул., 105; Канонерская ул., 26",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,76
77,,Дом фан Гильзе фан дер Пальса Г.Г.,1901-1902,арх. Иогансен В.Ю.,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,69
78,Дом фан Гильзе фан дер Пальса Г.Г.,Дом жилой,1901-1902,арх. Иогансен В.Ю.,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,70
79,Дом фан Гильзе фан дер Пальса Г.Г.,Службы,1901-1902,арх. Иогансен В.Ю.,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,71
80,Дом фан Гильзе фан дер Пальса Г.Г.,Ограды (две),,,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,72
81,Дом фан Гильзе фан дер Пальса Г.Г.,Ворота,,,"Английский пр., 8-10",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,73
82,,Жилой дом,2-я пол. 18 в.; 1813 (?),,"Антоненко пер., 10; Казанская ул., 31",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,472
83,,Дом Е.Ф. Брюна,1837,арх. А.М. Болотов,"Антоненко пер., 6",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,471
84,,"Дом, где в 1840 - 1841 гг. жил писатель и философ Герцен А.И.",,,"Большая Морская ул., 25; Гороховая ул., 11",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,77
85,,Дом Петерсона (Лобановых-Ростовских),1730-е; 1852; 1858; 1872,арх. М.Г. Земцов; арх. Л.Ф. Вендрамини; арх. Ф.И. Эппингер; арх. И.А. Мерц,"Большая Морская ул., 31",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,765
86,,Банк для внешней торговли Русский с флигелями,1887-1888,арх. Шретер В.А.,"Большая Морская ул., 32",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,78
87,,"Дом, где в читальне книжного магазина газеты ""Новости"" в 1895 г. Ленин В.И. встречался с петербургскими марксистами",,,"Большая Морская ул., 33",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,79
88,,"Дома страхового общества ""Россия""",19 в.-20 в. нач.,,"Большая Морская ул., 35, 37",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,80
89,"Дома страхового общества ""Россия""",Дом жилой,1905-1907,"керамист Ваулин П.К., гражд.инж. Гимпель А.А., арх. Ильяшев В.В., худ. Рерих Н.К.","Большая Морская ул., 35",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,81
90,"Дома страхового общества ""Россия""",Дом жилой,"19 в. 1-я пол., 1898-1899","арх. Бенуа Л.Н., арх. Леви З.Я.","Большая Морская ул., 37",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,82
91,"Дома страхового общества ""Россия""",Флигель,1900,гражд.инж. Гимпель А.А.,"Большая Морская ул., 37 (во втором дворе)",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,83
92,,Дом Паулуччи А.Ф. Здесь в декабре 1905 - январе 1906 гг. проходили заседания ЦК и ПК РСДРП,1873,"арх. Макаров М.А., Иванов А.В.","Большая Морская ул., 36",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,84
93,,Дом Общества поощрения художеств с дворовыми флигелями,"18 в., 1830-е, 1877-1878; 1890-1893",арх. Месмахер М.Е.; арх. Китнер И.С.,"Большая Морская ул., 38; Мойки р. наб., 83",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,85
94,,"Гостиница ""Астория""",1911-1912,арх. Лидваль Ф.И.,"Большая Морская ул., 39, лит. А; Вознесенский пр., 12",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,86
95,,Дом Первого Российского страхового общества,18 в. сер.; 18 в. кон.-19 в.1-я треть.; 1863; 1885; 1899; 1916,арх. Пуншель Ф.К.; арх. Шперер Л.Ф.; арх. Бенуа Л.Н.; арх. Бенуа Ю.Ю.,"Большая Морская ул., 40; Мойки р. наб., 85",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,87
96,,Дом Демидова П.Н. (посольство Италии),18 в.; 1836-1840,"ск. Жак Т.Н., арх. Монферран О.Р.","Большая Морская ул., 43",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,88
97,,Дом Демидова П.Н. (Гагариной В.Ф.),18 в.; 1835-1840; 1873-1874,"арх. Монферран О.Р.; арх. Месмахер М.Е., арх. Штром И.В.","Большая Морская ул., 45",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,89
98,,Дом Набоковой Е.И. с дворовыми флигелями. Здесь родился и в 1899-1917 гг. жил писатель Набоков В.В.,18 в.-19 в. 1-я пол; 1874; 1901-1902,"арх. Яфа Л.Ф.; гражд.инж. Гейслер М.Ф., гражд.инж. Гуслистый Б.Ф.","Большая Морская ул., 47",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,90
