oid,obj_type,name,short_name,name_en,type,address_manual,phone,www,email,description,description_en,obj_history,obj_history_en,obj_hints,work_time,work_time_en,coord
5841,Религиозные объекты,"Александро-Невский монастырь/ Александро-Невская лавра (Свято-Троицкий собор, Исидоровская церковь, Фёдоровская церковь, Благовещенская – Александро-Невская церковь, Церковь Сошествия Святого Духа)",,Saint Alexander Nevsky Lavra,,"Санкт-Петербург, Набережная реки Монастырки, 1",+7(812)2741702 Канцелярия; +7(812)2741612 Паломническая служба; +7(812)5774446 Духовнопросветительский центр; +7(812)7102040 Прессцентр;,www.lavra.spb.ru,kanzlei@lavra.spb.ru Канцелярия; pal-centr@lavra.spb.ru Паломническая служба; dpc@lavra.spb.ru Духовно-просветительский центр; 300lavra@gmail.com Пресс-центр,"Один из старейших историков Петербурга пишет, что уже весной 1704 года Петр Великий выбрал место для будущего Петербургского монастыря. Оно, как и все пространство нынешнего Петербурга, было покрыто болотами и лесом и требовало для своего устройства большого труда и времени. Между тем, не прекращавшиеся военные действия в борьбе со шведами за обладание устьем Невы не давали возможности приступить в скором времени к осуществлению мысли об основании в Петербурге монашеской обители. 

В 1710 году, 13 июня, был взят Выборг и, таким образом, была достигнута безопасность столицы со стороны ближайших границ. После этого Государь, будучи в Петербурге, в июле 1710 года ""осматривал место, где быть строениям"". Тогда и указано было ""непременно на том месте быть Монастырю"". Определено было именовать монастырь ""Живоначальныя Троицы и Святого благоверного Великого князя Александра Невского"" и быть по правую сторону Черной речки (первоначально Монастырка, так же как и река Волковка, была частью Чёрной речки. Упоминание об этой реке имеется еще в летописях 1500 г. Когда в 1829 году был построен восточный участок Обводного канала, он разделил реку на две части. Северная часть стала называться Монастыркой по Александро-Невскому монастырю, причём направление течения реки изменилось на обратное: она стала вытекать из Невы и впадать в Обводный канал) каменному монастырскому строению, а по левую - деревянному партикулярному. Назначенный в ""тот Монастырь"" архимандрит Феодосий водрузил на избранном месте 2 креста: один на правой стороне Черной речки, а другой на левой. На кресте, водруженном на правой стороне, сделана была надпись: ""Во имя Отца и Сына и Святаго Духа, повелением Царскаго Пресветлаго Величества на сем месте имеет создатися Монастырь"". А на левой стороне Черной речки водружен был крест с надписью: ""Что сей крест образует, обонполный то сказует"". 

Место, выбранное для Александро-Невского монастыря, имело историческое значение.","One of the oldest historians of Petersburg writes that in the spring of 1704 Peter the Great chose a place for future Petersburg monastery.  It, as well as all space of present Petersburg, was covered with bogs and the wood and demanded for the device of big work and time.  Meanwhile, not stopping military operations in fight against Swedes for possession the mouth of Neva didn't give the chance to start shortly implementation of thought of the basis in Petersburg a monastic monastery. 

In 1710, on June 13, Vyborg was taken and safety of the capital was thus reached from the next borders. After that the Sovereign, being in Petersburg, in July, 1710 ""I examined a place where to be to structures"". Then it was specified ""by all means on that place to be to the Monastery"". Was determined to call the monastery ""Zhivonachalnyya Trinity and Saint Blessed Grand Duke Alexander Nevsky"" and to be on the right side of the Black small river (originally Monastyrka as well as the river Volkovka, was part of the Black small river. The mention of this river is available in chronicles of 1500. When in 1829 east site of the Bypass channel was constructed, it divided the river into two parts. The northern part began to be called as Monastyrka across the Aleksandro-Nevsky to a monastery, and the direction of a watercourse changed on the return: it began to follow from Neva and to fall into the Bypass canal) to a stone monastic structure, and on the left - wooden civil. Appointed in ""that Monastery"" the archimandrite Feodosiy set up 2 crosses on the chosen place:  one on the right side of the Black small river, and another on the left.

The place chosen for the Aleksandro-Nevsky of a monastery, had historical value.",,,,,,"59.921011,30.388919"
5842,Религиозные объекты,Вознесенский (Софийский) Собор,,Sophia Cathedral,,"Санкт-Петербург, г. Пушкин, Софийский ул., 1",+7(812)4654747; +7(812)4653019,,,,,,,,,,"59.711714,30.413452"
5843,Религиозные объекты,Воскресенский Смольный собор,,Smolny Cathedral,,"Санкт-Петербург, пл. Растрелли, 3",+7(812)7103159; +7(812)5771421,www.cathedral.ru,office@cathedral.ru,,,,,,,,"59.948631,30.395576"
5844,Религиозные объекты,Домовая церковь Святой Великомученицы Екатерины в здании Академии художеств,,St. Martyr Catherine House Church in the Academy of Arts,,"Санкт-Петербург, Университетская наб., д.17",+7(812)3280751,www.art-acad-church.ru,art-acad-church@mail.ru,,,,,,,,"59.937305,30.289997"
5845,Религиозные объекты,Исаакиевский собор,,Saint Isaac's Cathedral,,"Санкт-Петербург, Исаакиевская пл., 4",+7(812)3159732,www.cathedral.ru,,,,,,,,,"59.933992,30.306148"
5846,Религиозные объекты,Князь-Владимирский Собор,,St. Vladimir's Cathedral,,"Санкт-Петербург, ул. Блохина, д. 26",+7(812)4980304,www.vladimirskysobor.ru,kvsk@mail.ru,,,,,,,,"59.951619,30.295476"
5847,Религиозные объекты,Князь-Владмирская Церковь,,The Prince Vladimir Church,,"Санкт-Петербург, пос. Лисий Нос, Балтийский пр. д. 37",+7(812)4349204,,,,,,,,,,"60.019585,30.001997"
5848,Религиозные объекты,Крестовоздвиженский Казачий Собор,,Cossack Church of the Exaltation of the Holy Cross,,"Санкт-Петербург, Лиговский пр., д. 128",+7(812)5724063,krest-sobor.ru,Krestsobor@yandex.ru,,,,,,,,"59.916194,30.353265"
5849,Религиозные объекты,Николо-Богоявленский Морской Кафедральный собор,,St. Nicholas Naval Cathedral,,"Санкт-Петербург, Никольская пл., 1/3",+7(812)7147085; +7(812)7146926; +7(812)7140862,www.nikolskiysobor.ru,info@nikolskiysobor.ru,,,,,,,,"59.922382,30.300139"
5850,Религиозные объекты,Никольская Большеохтинская церковь,,Nikolskaya Bolsheokhtinskaya Church,,"Санкт-Петербург, пр. Металлистов, 5",+7(812)2242708,,,,,,,,,,"59.946950,30.421366"
5851,Религиозные объекты,Петропавловский собор,,Peter and Paul Cathedral,,"Санкт-Петербург, Заячий остров, Петропавловская крепость",+7(812)2306431,www.spbmuseum.ru,spbmuseum@mail.ru,,,,,,,,"59.950060,30.315913"
5852,Религиозные объекты,Подворье Валаамского монастыря (Храм во имя Казанской иконы Божией Матери),,Kazan Church,,"Санкт-Петербург, Нарвский пр., дом 1/29",+7(812)2526411; +7(812)2527700,valaam.ru,,,,,,,,,"59.905980,30.275300"
5853,Религиозные объекты,"Храм иконы Божией Матери ""Неопалимая Купина""",,"St. Mary Icon Cathedral ''The Unburnt Bush""'",,"Санкт-Петербург, Лесной проспект, дом 17, корпус 1",+7(812)5424652; +79110035260,www.kupinaspb.ru,mail@kupinaspb.ru,,,,,,,,"59.965525,30.351423"
5854,Религиозные объекты,Спасо-Преображенский Собор,,Transfiguration Cathedral,,"Санкт-Петербург, Преображенская пл., д. 1",+7(812)5796010,www.preobragensky.ru,mail@preobragensky.ru,,,,,,,,"59.942962,30.352465"
5855,Религиозные объекты,Храм Благовещения Пресвятой Богородицы на Пискаревском пр.,,Annunciation to the Blessed Virgin Mary Cathedral on the Piskarevsky Pr.,,"Санкт-Петербург, Пискарёвский пр., 41",+7(812)5439227,www.svet-istiny.ru,blagoveschenie41@gmail.com,,,,,,,,"59.980434,30.423603"
5856,Религиозные объекты,Троицкая церковь в Красном Селе,,Trinity church in Krasnoe Selo,,"Санкт-Петербург, Красное Село, проспект Ленина, 108",+7(812)7414595,,,,,,,,,,"59.733178,30.088639"
5857,Религиозные объекты,Церковь Андрея Критского (Подворье Константино-Еленинского монастыря),,Andrey Kritsky Church (konstantino-Eleninsky Monastery Metochion),,"Санкт-Петербург, Рижский проспект, 9",+7(812)2510165; +7(812)2519928,www.konst-elena.ru,blagochestie@konst-elena.ru,,,,,,,,"59.913780,30.289835"
5858,Религиозные объекты,Приход Св. Великомученика и Целителя Пантелеимона-на-Ручье,,St. Martyr and Healer Pantaleon-on-the-Stream Ward,,"Санкт-Петербург,  просп. Луначарского, д. 49",+7(812)5577898,svpanteleimon.bip.ru,,,,,,,,,"60.035962,30.361260"
5859,Религиозные объекты,Приход храма Воскресения Христова пос. Шушары,,Church of the Resurrection Ward,,"Санкт-Петербург, Школьная ул., 12-б, пос. Шушары",+7(921)8607770,,,,,,,,,,"59.812003,30.375687"
5860,Религиозные объекты,Приход Храма Святых Страстотерпцев Царя Николая и Царицы Александры при СПбГПМА,,St. Passion Bearers Tsar Nicolas and Tsaritsa Alexandra Cathedral Ward in the SPB Pediatric Medical University,,"Санкт-Петербург, ул. Литовская, д. 2",,,,,,,,,,,"59.977818,30.340114"
5861,Религиозные объекты,Храм Преображения Господня в Лигово,,Transfiguration Cathedral  in Ligovo,,"Санкт-Петербург, ул. Добровольцев, д. 32",+7(812)9524359,spas-na-rubezhe.ru,,,,,,,,,"59.834709,30.166074"
5862,Религиозные объекты,Храм Успения Пресвятой Богородицы на Малой Охте,,Assumption of Our Lady Cathedral on Malaya Okhta,,"Санкт-Петербург, Малоохтинский просп., 52",+7(812)5281150,hramuspenie-spb.org,,,,,,,,,"59.933041,30.403822"
5863,Религиозные объекты,Сампсониевский собор,,Saint Sampson's Cathedral,,"Санкт-Петербург, Бол. Сампсониевский пр., 41",+7(812)2945751,cathedral.ru,st.sampon@mail.ru,,,,,,,,"59.968317,30.343015"
5864,Религиозные объекты,Храм Исидора Юрьевского (Свято-Исидоровский),,Isidor Yurievsky Cathedral (Svyato-Isidorovsky),,"Санкт-Петербург, просп. Римского-Корсакова, 24",+7(812)7142583,,,,,,,,,,"59.921831,30.292638"
5865,Религиозные объекты,Свято Троицкая Сергиева Приморская пустынь,,Coastal Monastery of St. Sergius,,"Санкт-Петербург, Стрельна, Санкт–Петербургское ш., д. 15",+7(812)6470730; +7(812)6470745,pustin.spb.ru,sergieva_pustin@mail.ru,,,,,,,,"59.853329,30.089780"
5866,Религиозные объекты,"Церковь Святой Троицы Живоначальной ""Кулич и Пасха""",,"St. Life-Giving Trinity Church ""Easter Cake and Pudding""",,"Санкт-Петербург, пр. Обуховской обороны, д. 235",,,,,,,,,,,"59.863342,30.472768"
5867,Религиозные объекты,Свято-Троицкий Собор в Колпино,,The Holy Trinity Cathedral in Kolpino,,"Санкт-Петербург, г. Колпино,  ул. Володарского, 42",+7(812)4821822,www.sobor-kolpino.narod.ru,,,,,,,,,"59.740167,30.593448"
5868,Религиозные объекты,Собор Апостола Андрея Первозванного (Андреевский),,Saint Andrew's Cathedral,,"Санкт-Петербург, В.О., 6 линия, д.11",+7(812)3233418,andrew-sobor.ru,,,,,,,,,"59.939753,30.283214"
5869,Религиозные объекты,Собор Архистратига Божия Михаила и Всех Сил Небесных,,God Archistratigus Mikhail and All Heavenly Hosts Cathedral,,"Санкт-Петербург, г. Ломоносов, Дворцовый пр., 61",+7(812)4223962,,,,,,,,,,"59.915783,29.765722"
5870,Религиозные объекты,Церковь Благовещения Пресвятой Богородицы,,Annunciation to the Blessed Virgin Mary Church,,"Санкт-Петербург,  В.О., 8-я линия, д. 67",+7(812)3282971; +7(812)3282922,hramblag.spb.ru,spb.hramblag-vo@mail.ru,,,,,,,,"59.945522,30.273405"
5871,Религиозные объекты,Собор Владимирской Иконы Божией Матери,,Our Lady of Vladimir Church,,"Санкт-Петербург, Владимирский пр., д. 20",+7(812)3121938,www.vladimirsobor.spb.ru,,,,,,,,,"59.928104,30.348378"
5872,Религиозные объекты,Собор Воскресения Христова (Спас-на-крови),,Church of the Savior on Spilled Blood,,"Санкт-Петербург,  Hабережная Канала Грибоедова, 2б",+7(812)3151636,cathedral.ru,,,,,,,,,"59.939194,30.328912"
5873,Религиозные объекты,Собор Казанской Иконы Божией Матери,,Cathedral of Our Lady of Kazan,,"Санкт-Петербург, Казанская площадь, д. 2",+7(812)3144663; +7(812)3145856,kazansky-spb.ru,sobor.go@mail.ru,,,,,,,,"59.934195,30.324797"
5874,Религиозные объекты,Собор Святой Живоначальной Троицы лейб-гвардии Измайловского полка,,Trinity Izmailovsky Cathedral,,"Санкт-Петербург, Измaйлoвcкий пр., 7а","+7(812)2518927
+7(812)3107402",www.izmsobor.ruru,izmsobor@mail.ru,,,,,,,,"59.916419,30.306094"
5875,Религиозные объекты,Собор Николая Чудотворца в Павловске,,St. Nicholas the Wonderworker,,"Санкт-Петербург, Павловск, Артиллерийская ул., д. 2",+7(812)4651999,,,,,,,,,,"59.677831,30.450265"
5876,Религиозные объекты,Собор Феодоровской иконы Божией Матери,,Fyodor Mother of God Cathedral,,"Санкт-Петербург, Миргородская ул., 1-б",+7(812)2742216,feosobor.ru,feosobor.spb@gmail.com,,,,,,,,"59.925750,30.369507"
5877,Религиозные объекты,Собор Феодоровской иконы Божией Матери (Феодоровский Государев собор) в Пушкине,,Fyodor Mother of God Cathedral (Pushkin),,"Санкт-Петербург, г. Пушкин, Академический пр., д. 34",+7(812)4666169,,,,,,,,,,"59.725716,30.390707"
5878,Религиозные объекты,Храм Спаса Нерукотворного Образа (Спасо-Парголовская церковь),,Not-Made-by-Hand Image of Our Saviour Cathedral (Spaso-Pargolovskaya Church),,"Санкт-Петербург, Выборгское ш., 106а",+7(812)5541658,happy-school.ru,,,,,,,,,"60.053462,30.306921"
5879,Религиозные объекты,Храм Благовещения Пресвятой Богородицы,,Annunciation to the Blessed Virgin Mary,,"Санкт-Петербург, Приморский пр., 79",+7(812)4306450,,,,,,,,,,"59.983130,30.262499"
5880,Религиозные объекты,Церковь Богоявления Господня на Гутуевом острове,,Epiphany of Our Lord Church on Gutuevsky Island,,"Санкт-Петербург, Двинская ул., д. 2",+7(812)2517027,,,,,,,,,,"59.908683,30.257235"
5881,Религиозные объекты,Собор Петра и Павла в Петергофе,,Peter and Paul Cathedral (Peterhof),,"Санкт-Петербург, г. Петергоф, Санкт-Петербургский пр., д. 32/4",+7(812)4506268,,,,,,,,,,"59.878820,29.912435"
5882,Религиозные объекты,Храм Св. Страстотерпца Царя Николая,,St. Passion Bearer Tsar Nicolas Cathedral,,"Санкт-Петербург, Суворовский просп., 61",+7(812)2754619,,,,,,,,,,"59.940636,30.380951"
5883,Религиозные объекты,Храм Преображения Господня в Лесном,,Transfiguration Cathedral  in Lesnoye,,"Санкт-Петербург, ул. Орбели, 25",+7(812)2944238,xram-orbeli.ru,,,,,,,,,"60.004645,30.342117"
5884,Религиозные объекты,Храм Рождества Пресвятой Богородицы в Рыбацком,,Nativity of the Most Holy Mother of God Cathedral in Rybatskoe,,"Санкт-Петербург,  Рыбацкий пр. 12 лит. A",+7(812)7077917,2hrama.ru,7077917@mail.ru,,,,,,,,"59.841676,30.500086"
5885,Религиозные объекты,Храм Рождества Христова,,Nativity temple,,"Санкт-Петербург, ул. Коллонтай, д.17",,svyatoyhram.ru,mail@svyatoyhram.ru,,,,,,,,"59.917434,30.462931"
5886,Религиозные объекты,Храм свт. Николая на Коломяжском пр.,,St. Nicholas Cathedral on the Colomyazhsky Pr.,,"Санкт-Петербург, Коломяжский просп., 13",+7(812)9803927; +7(812)3937303,hramik.ru,pochta@svnikola.ru,,,,,,,,"59.999336,30.302142"
5887,Религиозные объекты,Церковь святителя Николая Чудотворца и мученицы Царицы Александры (Путиловская церковь),,St. Nicholas the Wonder Worker and Martyr Tsarina Alexandra Church (Putilovskaya Church),,"Санкт-Петербург, пр.Стачек, д. 48",+7(812)2526390,putilovskij-hram.ru,putilovhram@gmail.com,,,,,,,,"59.883647,30.267521"
5888,Религиозные объекты,"Храм Святителя Петра, Митрополита Московского",,"Sanctifier Peter, Moskovsky Metropolitan Cathedral",,"Санкт-Петербург, Роменская ул., дом 12",+7(812)7122273,cspmm.orthodoxy.ru,,,,,,,,,"59.918160,30.361934"
5889,Религиозные объекты,Церковь Святого Апостола и Евангелиста Иоанна Богослова (Леушинское подворье),,St. Apostle and  Evangelist John the Theologian Church (Leushinskoye Metochion),,"Санкт-Петербург, ул. Некрасова, д. 31",+7(812)2739619,leushino.ru,podvorie@leushino.ru,,,,,,,,"59.938446,30.361934"
5890,Религиозные объекты,Храм Святого Илии Пророка на Пороховых,,St. Prophet Elijah Cathedral na Porokhovih,,"Санкт-Петербург, ул. Ильинская слобода, 4 (ш. Революции, д. 75)",+7(812)5273837,ilya-prorok.org,,,,,,,,,"59.964543,30.473199"
5891,Религиозные объекты,Храм Святой Троицы подворье Череменецкого монастыря,,St. Trinity Cathedral Metochion of Cheremenetsky Monastery,,"Санкт-Петербург, Октябрьская наб., 18",+7(812)5887680,svtroitsa.prihod.ru,svtroitsa.spb@ya.ru,,,,,,,,"59.909035,30.428193"
5892,Религиозные объекты,Храм святых апостолов Петра и Павла в Знаменке,,St. Apostles Peter and Paul Cathedral in Znamenca,,"Санкт-Петербург, Петергоф, Санкт-Петербургское ш., 115, корп. 10, лит. А",+7(812)4507394; +7(812)9829078; +7(812)9039009,znamenka.cerkov.ru,petripavel@list.ru,,,,,,,,"59.876639,29.962201"
5893,Религиозные объекты,Храм Святых Апостолов Петра и Павла при Больнице им. Петра Великого,,St. Apostles Peter and Paul Cathedral in the Peter the Great Hospital,,"Санкт-Петербург, Пискаревский просп., 47",+7(812)5431723,,,,,,,,,,"59.980704,30.428921"
5894,Религиозные объекты,Храм Святых Апостолов Петра и Павла при РГПУ,,St. Apostles Peter and Paul Cathedral in the Herzen University,,"Санкт-Петербург, Гороховая ул., д. 18",+7(921)5625778,hram-rgpu.ru,mail@hram-rgpu.ru,,,,,,,,"59.931954,30.318401"
5895,Религиозные объекты,Церковь Спаса Нерукотворного Образа на Конюшенной площади,,Not-Made-by-Hand Image of Our Saviour Church on the Konushennaya Square,,"Санкт-Петербург, Конюшенная пл., 1",+7(812)3118261,,,,,,,,,,"59.941164,30.327007"
5896,Религиозные объекты,Церковь Георгия Победоносца на Средней Рогатке,,St. George Church in the Srednyaya Rogatka,,"Санкт-Петербург, Московское ш., 3",+7(812)3238653,,,,,,,,,,"59.833615,30.334733"
5897,Религиозные объекты,Церковь Сергия Радонежского на Средней Рогатке,,Sergey Radonezhsky Church on the Srednyaya Rogatka,,"Санкт-Петербург, Московское ш., 3",+7(812)3238629,,,,,,,,,,"59.833615,30.334733"
5898,Религиозные объекты,Церковь Рождества Христова на Средней Рогатке,,Nativity Church on the Srednyaya Rogatka,,"Санкт-Петербург, Московское ш., 1а",+7(812)3238629,,,,,,,,,,"59.833615,30.334733"
5899,Религиозные объекты,Церковь Святого благоверного князя Александра Невского в Усть-Ижоре,,St. Blessed Knyaz Alexander Nevsky Church in Ust-Izhora,,"Санкт-Петербург, Усть-Ижора, пр. 9-го Января, д. 217",+7(812)4643861,,,,,,,,,,"59.804522,30.602152"
5900,Религиозные объекты,Церковь Святого благоверного князя Александра Невского в Красном Селе,,St. Blessed Knyaz Alexander Nevsky Church in Krasnoye Selo,,"Санкт-Петербург, Красное Село, переулок Щуппа, д. 10",+7(812)7414616,alexnev.ru,hram@alexnev.ru,,,,,,,,"59.726628,30.085585"
5901,Религиозные объекты,"Церковь св. благоверного князя Александра Невскогопри следственном изоляторе ГУВД СПб. и Ленингр. обл. ""Кресты""",,"St. Blessed Knyaz Alexandr Nevsky Church in the Detention Unit of the Chief Directorate of Internal Affairs ""Kresty""",,"Санкт-Петербург, Арсенальная набережная, д. 7",,,,,,,,,,,"59.953070,30.365231"
5902,Религиозные объекты,Храм святого благоверного князя Александра Невского,,St. Blessed Knyaz Alexander Nevsky Cathedral,,"Санкт-Петербург, пр. Маршала Жукова, д. 43 к.2",+7(911)9956546,nevskyhram.ru,melnikov.daniil@gmail.com,,,,,,,,"59.850748,30.214942"
5903,Религиозные объекты,Храм иконы Божией Матери «Всех скорбящих Радость» на Шпалерной улице,,"St. Mary Icon Cathedral ''Joy of All Who Sorrow""' in Shpalernaya Street",,"Санкт-Петербург, Шпалерная ул,д.35А",+7(812)2735469,www.bcex.ru,mm@bcex.ru,,,,,,,,"59.948649,30.358844"
5904,Религиозные объекты,Церковь во имя Иконы Божией Матери Всех Скорбящих Радость (домовая) при Психоневрологическом Интернате №10,,"Icon of Our Lady ""Joy of All Who Sorrow""  Family Church  in Psychoneurological Care Home #10",,"Санкт-Петербург, Коллонтай, д. 36",+7(812)5885364,,,,,,,,,,"59.927148,30.493546"
5905,Религиозные объекты,"Церковь во имя иконы Божией Матери ""Всех скорбящих Радость"" в Сергиево",,"Icon of Our Lady ""Joy of All Who Sorrow""  Church in Sergievo",,"Санкт-Петербург, Сергиева пустынь (пос. Володарский), ул. Интернациональная, д. 1",+7(812)7389375,,,,,,,,,,"59.832475,30.092394"
5906,Религиозные объекты,Церковь св. преподобномученика Андрея Критского в Сергиево,,St. Martyr Andrey Kritsky Church in Sergievo,,"Санкт-Петербург, п. Володарский (Сергиево), Ленина, 22",+7(812)7389768; +7(812)7389814; +7(812)7497588,,,,,,,,,,"59.962282,30.303444"
5907,Религиозные объекты,"Храм Иконы Божией Матери ""Державная""",,"St. Mary Icon Cathedral ''Sovereign""'",,"Санкт-Петербург, просп. Ветеранов, 105, к. 2",+7(812)7594366,derzhavnaya.spb.ru,mail@derzhavnaya.spb.ru,,,,,,,,"59.834393,30.201944"
5908,Религиозные объекты,"Церковь во имя иконы Божией Матери ""Знамение"" в Царском Селе",,Icon of Our Lady of the Sign Church in Tsarskoye Selo,,"Санкт-Петербург, г. Пушкин, Дворцовая улица, 5 (Лицейский сад)",,,,,,,,,,,"59.719660,30.396186"
5909,Религиозные объекты,Домовая Церковь во имя иконы Божьей Матери «Неупиваемая Чаша»,,Family church in the name of Icon of the Mother of God,,"Санкт-Петербург, Цветочная ул., 16 лит. К",+7(812)3870411,,,,,,,,,,"59.886492,30.330565"
5910,Религиозные объекты,Церковь во имя Преподобного Серафима Саровского,,Reverend Serafim Sarovsky Church,,"Санкт-Петербург, Серебряков пер., д. 1 (Серафимовское кладбище)",+7(911)9203598,serafimovskiy.ru,,,,,,,,,"59.984053,30.270575"
5911,Религиозные объекты,Храм преподобного Серафима Саровского в Старом Петергофе,,St.Seraphim of Sarov Cathedral in the Old Peterhof,,"Санкт-Петербург, Петергоф, Ораниенбаумское шоссе, 11",+7(812)4507614,podvorje.orthodoxy.ru/ru/main,,,,,,,,,"59.894446,29.863494"
5912,Религиозные объекты,Академический храм во имя апостола и евангелиста Иоанна Богослова,,Academic Cathedral in the name of St. John the Evangelist and Apostle,,"Санкт-Петербург, ул. Некрасова, 31",,spbda.ruacademy/view/Hramy.html,,,,,,,,,"59.917623,30.383835"
5913,Религиозные объекты,Церковь во имя Святого Великомученика Пантелеймона,,St. Martyr Pantaleon Church,,"Санкт-Петербург, ул. Пестеля 2-а",,,,,,,,,,,"59.942872,30.340482"
5914,Религиозные объекты,Церковь великомученика Пантелеимона Целителя,,St. Pantaleon the Healer Church,,"Санкт-Петербург, г. Пушкин, Госпитальная ул., 15",,,,,,,,,,,"59.719555,30.420899"
5915,Религиозные объекты,"Свято-Иоанновский ставропигиальный монастырь (Собор Двенадцати Апостолов, Церковь Илии Пророка и Феодоры Царицы, Церковь Иоанна Рыльского)",,The Convent of St. John of Rila,,"Санкт-Петербург, наб. р. Карповки, 45",+7(812)2342427,imonspb.ru,,,,,,,,,"59.970434,30.300372"
5916,Религиозные объекты,"Церковь иконы Божией Матери ""Всех скорбящих Радость"" (с грошиками) Санкт-Петербург. Церковь иконы Божией Матери ""Всех скорбящих Радость""",,"Icon of Our Lady ""Joy of All Who Sorrow""  Church",,"Санкт-Петербург, пр. Обуховской Обороны, д. 24",+7(812)3650300,www.zelenets.ru,zelenecpeterburg@gmail.com,,,,,,,,"59.912477,30.407299"
5917,Религиозные объекты,Церковь Вознесения Господня в Колпино,,Ascension of Our Lord Church in Kolpino,,"Санкт-Петербург, Колпино, пр.Ленина, 4",+7(812)4615756,kolpino-orthodoxy.ru,,,,,,,,,"59.749076,30.593205"
5918,Религиозные объекты,Церковь Святителя Николая Чудотворца в Колпино,,St. Nicholas the Wonder Worker Church in Kolpino,,"Санкт-Петербург, Колпино, Лагерное шоссе, городское кладбище",,kolpino-orthodoxy.ru,,,,,,,,,"59.747027,30.622966"
5919,Религиозные объекты,Храм Воскресения Христова у Варшавского вокзала,,Church of the Resurrection of Christ near Varshavsky railway station,,"Санкт-Петербург, наб. Обводного Канала, 116",+7(812)3160049; +7(812)3160093; +7(812)3161044,hram-varshavka.ru,hram-varshavka@yandex.ru,,,,,,,,"59.908083,30.309778"
5920,Религиозные объекты,Храм Иконы Казанской Божией Матери,,Our Lady of Kazan Cathedral,,"Санкт-Петербург, г. Зеленогорск, Приморское ш., 547",+7(812)4338006,,,,,,,,,,"60.192303,29.706128"
5921,Религиозные объекты,Церковь во имя Казанской иконы Божией Матери у Красненького кладбища,,Kazan Icon of the Mother of God Church in the Krasnenkoye Cemetery,,"Санкт-Петербург, Стачек просп., 98/2",+7(812)7841448,,,,,,,,,,"59.863161,30.262158"
